season,league,team_name,games,wins,losses,ties,win_pct
2026,セ・リーグ,阪神タイガース,134,75,58,1,0.564
2026,セ・リーグ,読売ジャイアンツ,136,74,60,2,0.552
2026,セ・リーグ,横浜DeNAベイスターズ,137,68,66,3,0.507
2026,セ・リーグ,中日ドラゴンズ,139,59,78,2,0.431
2026,セ・リーグ,東京ヤクルトスワローズ,135,57,76,2,0.429
2026,セ・リーグ,広島東洋カープ,133,54,75,4,0.419
2026,パ・リーグ,福岡ソフトバンクホークス,136,86,47,3,0.647
2026,パ・リーグ,埼玉西武ライオンズ,136,74,58,4,0.561
2026,パ・リーグ,北海道日本ハムファイターズ,138,75,60,3,0.556
2026,パ・リーグ,オリックス・バファローズ,138,65,71,2,0.478
2026,パ・リーグ,千葉ロッテマリーンズ,131,58,70,3,0.453
2026,パ・リーグ,東北楽天ゴールデンイーグルス,133,53,79,1,0.402
